number of APIs only in Python-3.3.0 : 115
number of APIs only in Python-3.2 : 76
number of APIs both have, but different : 2
number of APIs both have, and the same : 585
                       Python-3.3.0                                                  Python-3.2                         
                             -                                            Py_UNICODE,PyUnicodeUCS2_GetMax()             
                             -                                      Py_ssize_t,PyUnicodeUCS2_GetSize(PyObject *)        
                             -                                       int,PyUnicodeUCS2_IsIdentifier(PyObject *)         
                             -                                  PyObject *,PyUnicodeUCS2_Join(PyObject *,PyObject *)    
                             -                                PyObject *,PyUnicodeUCS2_Partition(PyObject *,PyObject *) 
                             -                               PyObject *,PyUnicodeUCS2_RPartition(PyObject *,PyObject *) 
                             -                               PyObject *,PyUnicodeUCS2_RSplit(PyObject *,PyObject *,Py_ssize_t)
                             -                               PyObject *,PyUnicodeUCS2_Replace(PyObject *,PyObject *,PyObject *,Py_ssize_t)
                             -                                    int,PyUnicodeUCS2_Resize(PyObject **,Py_ssize_t)      
                             -                               PyObject *,PyUnicodeUCS2_RichCompare(PyObject *,PyObject *,int)
                             -                               PyObject *,PyUnicodeUCS2_Split(PyObject *,PyObject *,Py_ssize_t)
                             -                                   PyObject *,PyUnicodeUCS2_Splitlines(PyObject *,int)    
                             -                               Py_ssize_t,PyUnicodeUCS2_Tailmatch(PyObject *,PyObject *,Py_ssize_t,Py_ssize_t,int)
                             -                               PyObject *,PyUnicodeUCS2_Translate(PyObject *,PyObject *,const char *)
                             -                               PyObject *,PyUnicodeUCS2_TranslateCharmap(const Py_UNICODE *,Py_ssize_t,PyObject *,const char *)
                             -                                          const char *,Py_SubversionRevision()            
                             -                                         const char *,Py_SubversionShortBranch()          
     int,PyBuffer_IsContiguous(const Py_buffer *,char)               int,PyBuffer_IsContiguous(Py_buffer *,char)        
PyObject *,PyImport_ImportModuleLevel(const char *,PyObject *,PyObject *,PyObject *,int)  PyObject *,PyImport_ImportModuleLevel(char *,PyObject *,PyObject *,PyObject *,int)
